Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.0938,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.575936,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.887827,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.881297,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.73188,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.668573,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.568206,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.603009,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.690605,1,adaboost
CHD_49,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.737077,1,adaboost
CHD_49,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.458104,1,adaboost
CHD_49,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.789404,1,adaboost
CHD_49,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.796431,1,adaboost
CHD_49,PCC_LogisticRegression,Predict Hamming,Hamming Accuracy,0.710672,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Subset Accuracy,0.180456,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Precision Score,0.670671,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Negative Predictive Value,0.761792,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Recall Score,0.673257,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Markedness,0.71623,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Fmeasure Score,0.642797,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Informedness,0.59477,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Macro F1,0.568619,1,lr
CHD_49,PCC_LogisticRegression,Predict Hamming,Micro F1,0.668275,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Hamming Accuracy,0.69902,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Subset Accuracy,0.202141,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Precision Score,0.645045,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Negative Predictive Value,0.769255,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Recall Score,0.701047,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Markedness,0.70715,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Fmeasure Score,0.644809,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Informedness,0.592844,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Macro F1,0.582729,1,lr
CHD_49,PCC_LogisticRegression,Predict Subset,Micro F1,0.668507,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Hamming Accuracy,0.650738,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Subset Accuracy,0.032338,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Precision Score,0.742565,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Negative Predictive Value,0.63237,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Recall Score,0.293602,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Markedness,0.687467,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Fmeasure Score,0.408937,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Informedness,0.562837,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Macro F1,0.322584,1,lr
CHD_49,PCC_LogisticRegression,Predict Precision,Micro F1,0.414552,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Hamming Accuracy,0.584243,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Subset Accuracy,0.0,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Precision Score,0.508616,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Negative Predictive Value,0.962369,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Recall Score,0.978737,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Markedness,0.735493,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Fmeasure Score,0.649256,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Informedness,0.54295,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Macro F1,0.563227,1,lr
CHD_49,PCC_LogisticRegression,Predict NPV,Micro F1,0.670663,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Hamming Accuracy,0.430118,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Subset Accuracy,0.0,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Precision Score,0.430118,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Negative Predictive Value,0.0,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Recall Score,0.99461,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Markedness,0.215058,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Fmeasure Score,0.58356,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Informedness,0.5,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Macro F1,0.558809,1,lr
CHD_49,PCC_LogisticRegression,Predict Recall,Micro F1,0.6013,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Hamming Accuracy,0.684897,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Subset Accuracy,0.131786,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Precision Score,0.649987,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Negative Predictive Value,0.817633,1,lr
CHD_49,PCC_LogisticRegression,Predict Markedness,Recall Score,0.741879,1,lr
